Voie_ID,Nom_x,Distance (km),% Couverture correspondant (200m),Groupes nature voie,Énergie produite annuelle (kWh / m2 de panneau),Production pour 860m2 de panneau (kWh),SolarScore,latlon,Département,Région,temp_mean_c,sunshine_duration_mean_hour,ghi_mean_W_m2,Revenus annuels revente Enedis €,nbre annuel de charges velos,Eclairage urbain en Nbre lapamdaires alimentés/an,Equivalent conso annuelle en nbr de personnes,nbre annuel charges un BlueBus,nbre annuel km/BlueBus _12m
73,Voie Verte de la Nive,12.4,1.61,Bord de sentier,86.53,74416,C,"(43.405827, -1.486566)",Pyrénées-Atlantiques,Nouvelle-Aquitaine,15.0,8.0,155.0,9674,148832,372,33,274,61557
74,Voie Verte du canal latéral à la Marne,12.5,1.6,Bord de rivière ou canal,70.33,60484,D,"(48.902392999999975, 4.309366)",Marne,Grand Est,12.0,7.0,135.0,7863,120968,302,27,222,50033
75,"EV5 - Via Romea Francigena / Voie Verte du Canal de la Sarre, de Grosbliederstroff à Sarreguemines",12.6,1.59,Bord de rivière ou canal,72.78,62591,D,"(49.099741, 7.027339)",Moselle,Grand Est,11.0,7.0,135.0,8137,125182,313,28,230,51776
76,La trace du Courlis,12.8,1.56,Bord de voie ferrée,73.74,63416,D,"(47.619229, 6.018754)",Haute-Saône,Bourgogne-Franche-Comté,12.0,7.0,140.0,8244,126832,317,29,233,52458
77,"EV3 - Scandibérique / Trans'Oise, de Abbécourt à Sempigny (Noyon)",13.1,1.53,Bord de rivière ou canal,63.57,54670,E,"(49.56176, 2.99098)",Oise,Hauts-de-France,12.0,6.0,127.0,7107,109340,273,25,201,45223
78,Trans’Oise de Frétoy-le-Château à Pont-l’Evêque,13.2,1.52,Bord de rivière ou canal,62.36,53630,E,"(49.56572, 2.939076)",Oise,Hauts-de-France,12.0,6.0,127.0,6972,107260,268,24,197,44363
79,Voie Verte des Hauts de Tardoire,13.3,1.5,Bord de voie ferrée,75.84,65222,D,"(45.651998, 0.870329)",Haute-Vienne,Nouvelle-Aquitaine,12.0,7.0,146.0,8479,130444,326,29,240,53952
80,Piste cyclable du tramway T3 (LEA),13.3,1.5,Bord de voie ferrée,84.73,72868,C,"(45.752477999999996, 4.861464000000001)",Métropole de Lyon,Auvergne-Rhône-Alpes,13.0,8.0,152.0,9473,145736,364,33,268,60277
81,V80 - Voie Verte Etauliers - Blaye,13.4,1.49,Bord de voie ferrée,78.91,67863,D,"(45.129228, -0.662554)",Gironde,Nouvelle-Aquitaine,14.0,8.0,148.0,8822,135726,339,31,249,56137
82,Voie Verte de Perpignan à Ste-Marie-la-Mer,13.5,1.48,Voie verte,107.2,92192,B,"(42.706376, 2.900195)",Pyrénées-Orientales,Occitanie,17.0,9.0,178.0,11985,184384,461,41,339,76262
83,Voie Verte Santenay - Nolay,13.6,1.47,Bord de voie ferrée,78.0,67080,D,"(46.900833, 4.598647)",Saône-et-Loire,Bourgogne-Franche-Comté,11.0,7.0,144.0,8720,134160,335,30,247,55489
84,V65 - de La Ciotat à Toulon / Parcours cyclable du littoral,13.6,1.47,Voie verte,121.3,104318,A,"(43.093381, 5.80835)",Var,Provence-Alpes-Côte d'Azur,17.0,10.0,190.0,13561,208636,522,47,384,86292
85,Piste cyclable Montpellier Carnon,13.7,1.46,Piste cyclable,107.22,92209,B,"(43.545467, 3.899705)",Hérault,Occitanie,16.0,9.0,175.0,11987,184418,461,41,339,76276
86,Voie Verte TCSP Massy- Christ de Saclay,13.7,1.46,Voie verte,65.46,56296,E,"(48.71028999999999, 2.13853)",Essonne,Ile-de-France,12.0,7.0,130.0,7318,112592,281,25,207,46568
87,Itinéraire Gilette - La Baronne,13.8,1.45,Voie verte,109.41,94093,B,"(43.71966, 7.179233)",Alpes-Maritimes,Provence-Alpes-Côte d'Azur,16.0,9.0,178.0,12232,188186,470,42,346,77834
88,Voie Verte de Molsheim à Wasselonne,14.0,1.43,Bord de voie ferrée,74.33,63924,D,"(48.568833999999995, 7.403235)",Bas-Rhin,Grand Est,11.0,7.0,138.0,8310,127848,320,29,235,52878
