Unnamed: 0,Nom,Lien,Début,Fin,Distance,Type voie,Nature voie,Revêtement,Carte,Coordonnées de début,Coordonnées de fin,Coordonnées milieu,Énergie produite annuelle (kWh / m2 de panneau)
42,Voie Verte de la vallée de l'Hers,https://www.af3v.org/les-voies-vertes/voies/2-voie-verte-de-la-vallee-de-l-hers,TOULOUSE,TOULOUSE,"8,4km",Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.466841,43.573124,1.497021,43.641728&crs=EPSG:4326","('1.466841', '43.573124')","('1.497021', '43.641728')","(1.4819309999999999, 43.607426000000004)",240.83
43,V32 - Lille - Paris / Trans'Oise de Therdonne à Hermes,https://www.af3v.org/les-voies-vertes/voies/400-v32-lille-paris-trans-oise-de-therdonne-a-hermes,THERDONNE,HERMES,"8,6km",Voie verte lisse,Voie en site propre,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.161544,49.36792,2.246071,49.418379&crs=EPSG:4326","('2.161544', '49.36792')","('2.246071', '49.418379')","(2.2038075, 49.3931495)",268.81
44,Liaison cyclable Belfort - Malsaucy,https://www.af3v.org/les-voies-vertes/voies/134-liaison-cyclable-belfort-malsaucy,BELFORT,SERMAMAGNY,"8,6km",Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.812392,47.628621999999986,6.862775000000001,47.684531000000014&crs=EPSG:4326","('6.812392', '47.628621999999986')","('6.862775000000001', '47.684531000000014')","(6.837583500000001, 47.6565765)",253.01
45,Voie Verte en Villeneuvois (V86),https://www.af3v.org/les-voies-vertes/voies/320-voie-verte-en-villeneuvois-v86,VILLENEUVE SUR LOT,CASSENEUIL,"8,8km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.631209,44.400717,0.702825,44.438502&crs=EPSG:4326","('0.631209', '44.400717')","('0.702825', '44.438502')","(0.667017, 44.4196095)",273.37
46,Voie Verte de Paladru,https://www.af3v.org/les-voies-vertes/voies/530-voie-verte-de-paladru,CHARAVINES,PALADRU,"9,0km",Voie verte lisse,Français,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=5.513919,45.42637,5.564801,45.474438&crs=EPSG:4326","('5.513919', '45.42637')","('5.564801', '45.474438')","(5.53936, 45.450404)",252.41
47,V830 - Voie Verte de Sète à Balaruc-le-Vieux,https://www.af3v.org/les-voies-vertes/voies/647-voie-verte-de-sete-a-balaruc-le-vieux,SETE,POUSSAN,"9,0km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.68301694668896,43.406893366815396,3.7094058531918703,43.47020299999999&crs=EPSG:4326","('3.68301694668896', '43.406893366815396')","('3.7094058531918703', '43.47020299999999')","(3.696211399940415, 43.43854818340769)",247.84
48,Voie Verte de la Haute Meurthe,https://www.af3v.org/les-voies-vertes/voies/316-voie-verte-de-la-haute-meurthe,ANOULD,PLAINFAING,"9,1km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.939822,48.17436669276569,7.014510282926,48.216559000000004&crs=EPSG:4326","('6.939822', '48.17436669276569')","('7.014510282926', '48.216559000000004')","(6.977166141463, 48.195462846382846)",255.74
49,Voie Verte de Strasbourg à La Wantzenau,https://www.af3v.org/les-voies-vertes/voies/47-voie-verte-de-strasbourg-a-la-wantzenau,STRASBOURG,LA WANTZENAU,"9,2km",Voie verte lisse,Sentier,Enduit gravillonné,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.782273999999999,48.59104299999999,7.831283,48.655102&crs=EPSG:4326","('7.782273999999999', '48.59104299999999')","('7.831283', '48.655102')","(7.8067785, 48.62307249999999)",259.09
50,"EV3 - Scandibérique / Trans'Oise, de Compiègne à Lacroix-St-Ouen",https://www.af3v.org/les-voies-vertes/voies/415-ev3-scandiberique-trans-oise-de-compiegne-a-lacroix-st-ouen,COMPIEGNE,LACROIX ST OUEN,"9,3km",Voie verte lisse,Voie en site propre,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.765481,49.352816,2.823712,49.419701&crs=EPSG:4326","('2.765481', '49.352816')","('2.823712', '49.419701')","(2.7945965, 49.3862585)",270.02
51,"Piste cyclable de l'ARC, de la Clairière de l'Armistice à Compiègne",https://www.af3v.org/les-voies-vertes/voies/216-piste-cyclable-de-l-arc-de-la-clairiere-de-l-armistice-a-compiegne,RETHONDES,COMPIEGNE,"9,5km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.823698,49.418149,2.914274,49.436062&crs=EPSG:4326","('2.823698', '49.418149')","('2.914274', '49.436062')","(2.8689859999999996, 49.427105499999996)",270.02
